LAT;;;;;51.1000;51.1000;51.1000;51.1000;51.1000
LON;;;;;17.0333;17.0333;17.0333;17.0333;17.0333
ASL;;;;;119.000;119.000;119.000;119.000;119.000
CITY;;;;;Wrocław;Wrocław;Wrocław;Wrocław;Wrocław
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS12;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc
NAME;;;;;Temperature;Relative humidity;Mean Sea Level Pressure;Total Precipitation;Snowfall amount
UNIT;;;;;°C;%;hPa;mm;cm
AGGREGATION;;;;;;;;;
UTC_OFFSET;;;;;1;1;1;1;1

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Snowfall amount  [sfc]
2016;11;18;02;00;9.05;83.00;1010.80;0.00;0.00
2016;11;18;03;00;8.84;84.00;1011.00;0.00;0.00
2016;11;18;04;00;8.89;84.00;1010.40;0.00;0.00
2016;11;18;05;00;8.95;83.00;1010.60;0.00;0.00
2016;11;18;06;00;8.87;82.00;1010.50;0.00;0.00
2016;11;18;07;00;7.74;79.00;1010.30;0.00;0.00
2016;11;18;08;00;7.85;74.00;1010.60;0.00;0.00
2016;11;18;09;00;9.04;65.00;1010.60;0.00;0.00
2016;11;18;10;00;10.49;61.00;1010.60;0.00;0.00
2016;11;18;11;00;10.83;60.00;1010.80;0.00;0.00
2016;11;18;12;00;11.15;59.00;1010.80;0.00;0.00
2016;11;18;13;00;10.70;59.00;1007.30;0.00;0.00
2016;11;18;14;00;10.43;60.00;1007.10;0.00;0.00
2016;11;18;15;00;10.67;60.00;1007.40;0.00;0.00
2016;11;18;16;00;10.40;64.00;1007.50;0.00;0.00
2016;11;18;17;00;10.11;66.00;1008.50;0.00;0.00
2016;11;18;18;00;10.08;69.00;1007.70;0.00;0.00
2016;11;18;19;00;9.63;72.00;1008.50;0.00;0.00
2016;11;18;20;00;9.47;74.00;1009.60;0.00;0.00
2016;11;18;21;00;9.82;74.00;1010.20;0.00;0.00
2016;11;18;22;00;9.29;79.00;1011.10;0.00;0.00
2016;11;18;23;00;8.53;84.00;1011.90;0.00;0.00
2016;11;19;00;00;7.69;89.00;1012.00;0.00;0.00
2016;11;19;01;00;7.12;92.00;1013.90;0.00;0.00
2016;11;19;02;00;7.24;90.00;1014.30;0.00;0.00
2016;11;19;03;00;7.83;82.00;1015.60;0.10;0.00
2016;11;19;04;00;7.94;68.00;1015.80;0.70;0.00
2016;11;19;05;00;7.52;67.00;1015.80;0.40;0.00
2016;11;19;06;00;7.22;71.00;1016.80;0.20;0.00
2016;11;19;07;00;6.78;76.00;1016.20;0.80;0.00
2016;11;19;08;00;6.45;84.00;1017.10;0.80;0.00
2016;11;19;09;00;6.41;87.00;1017.00;0.50;0.00
2016;11;19;10;00;6.81;86.00;1017.20;1.00;0.00
2016;11;19;11;00;7.11;86.00;1016.70;2.20;0.00
2016;11;19;12;00;7.03;88.00;1016.40;1.40;0.00
2016;11;19;13;00;8.71;87.00;1011.00;0.40;0.00
2016;11;19;14;00;8.59;91.00;1010.20;1.40;0.00
2016;11;19;15;00;8.54;90.00;1009.60;1.20;0.00
2016;11;19;16;00;8.14;93.00;1008.80;0.30;0.00
2016;11;19;17;00;8.24;93.00;1008.80;0.00;0.00
2016;11;19;18;00;8.24;95.00;1007.50;0.00;0.00
2016;11;19;19;00;8.20;95.00;1007.90;0.00;0.00
2016;11;19;20;00;8.15;94.00;1009.40;0.00;0.00
2016;11;19;21;00;7.84;88.00;1011.50;0.00;0.00
2016;11;19;22;00;7.34;85.00;1013.90;0.10;0.00
2016;11;19;23;00;7.07;86.00;1014.50;0.00;0.00
2016;11;20;00;00;7.26;84.00;1015.20;0.00;0.00
2016;11;20;01;00;6.01;83.00;1017.00;0.00;0.00
2016;11;20;02;00;5.13;83.00;1017.10;0.00;0.00
2016;11;20;03;00;4.80;86.00;1017.50;0.00;0.00
2016;11;20;04;00;4.79;87.00;1018.10;0.00;0.00
2016;11;20;05;00;4.73;86.00;1018.80;0.00;0.00
2016;11;20;06;00;4.51;89.00;1019.40;0.00;0.00
2016;11;20;07;00;4.49;89.00;1019.00;0.00;0.00
2016;11;20;08;00;4.79;86.00;1019.60;0.00;0.00
2016;11;20;09;00;5.83;79.00;1019.80;0.00;0.00
2016;11;20;10;00;7.03;72.00;1019.10;0.00;0.00
2016;11;20;11;00;7.83;69.00;1018.90;0.00;0.00
2016;11;20;12;00;8.96;66.00;1018.20;0.00;0.00
2016;11;20;13;00;11.53;67.00;1012.40;0.00;0.00
2016;11;20;14;00;12.74;68.00;1012.20;0.00;0.00
2016;11;20;15;00;12.49;67.00;1012.30;0.00;0.00
2016;11;20;16;00;10.90;74.00;1013.10;0.00;0.00
2016;11;20;17;00;9.93;78.00;1014.10;0.00;0.00
2016;11;20;18;00;9.26;83.00;1012.90;0.00;0.00
2016;11;20;19;00;8.79;86.00;1013.50;0.00;0.00
2016;11;20;20;00;7.87;89.00;1014.40;0.00;0.00
2016;11;20;21;00;6.55;94.00;1014.90;0.00;0.00
2016;11;20;22;00;5.92;97.00;1015.20;0.00;0.00
2016;11;20;23;00;6.42;94.00;1016.00;0.00;0.00
2016;11;21;00;00;7.66;88.00;1015.80;0.00;0.00
2016;11;21;01;00;9.22;83.00;1016.40;0.00;0.00
2016;11;21;02;00;8.64;86.00;1016.70;0.00;0.00
2016;11;21;03;00;8.43;87.00;1016.80;0.00;0.00
2016;11;21;04;00;8.38;87.00;1016.80;0.00;0.00
2016;11;21;05;00;8.05;88.00;1017.30;0.00;0.00
2016;11;21;06;00;7.15;89.00;1017.50;0.00;0.00
2016;11;21;07;00;5.96;92.00;1017.40;0.00;0.00
